word,mandarin,gloss,cittation_tone,sandhi_tone,syllable
mA.hu,马虎,careless,T3.T2,55.21,2
ŋo.bE,瓦片,tile,T3.T3,22.44,2
di.bi,地皮,land; ground,T3.T3,22.44,2
lɔ.du,老大,eldest; boss,T3.T3,55.21,2
ɦiA.soʔ,爷叔,"uncle (colloquial, respectful)",T3.T4,22.44,2
ɦo.tɕiAʔ,下脚,leftovers; scraps,T3.T4,22.44,2
ʑin.zAʔ,寻着,to find,T3.T5,22.44,2
səʔ,说,say,T4,55,1
paʔ,八,eight,T4,55,1
aʔ,鸭,duck,T4,55,1
tsʰAʔ.ɕiɔ,插销,door latch; bolt,T4.T1,33.44,2
pAʔ.tɕʰi,八千,eight thousand,T4.T1,33.44,2
tʰAʔ.pin,關饼,tin pastry (local pastry),T4.T2,33.44,2
tsʰAʔ.pE,擦板,washboard,T4.T2,33.44,2
tsʰoʔ.tɕʰi,触气,to touch air (electric contact; static),T4.T2,33.44,2
səʔ.dɤ,塞头,plug; stopper,T4.T3,33.44,2
o?. ts'o? ,曲蟮,earthworm (dialect),T4.T3,33.44,2
to?.din,笃定,determined,T4.T3,33.44,2
oʔ.tsʰoʔ,赃赃,dirty; filthy,T4.T4,33.44,2
tʰəʔ.tʰəʔ,脱脱,loose; falling off,T4.T4,33.44,2
kʰəʔ.boʔ,刻薄,mean,T4.T5,33.44,2
tʰəʔ.loʔ,脱落,to fall off,T4.T5,33.44,2
pAʔ.ɦəʔ,百合,lily,T4.T5,33.44,2
zA?,石,stone,T5,12,1
dɤ,读,read,T5,12,1
zəʔ,食,food,T5,12,1
baʔ,白,white,T5,12,1
,,,,,
,,,,,
maʔ,脉,pulse,T5,12,1
,,,,,
,,,,,
,,,,,
loʔ.su,落苏,eggplant,T5.T1,11.23,2
,,,,,
mAʔ.tɕʰiɤ,麦秋,wheat harvest season,T5.T1,11.23,2
ɦoʔ.tsɿ,镬子,wok,T5.T2,11.23,2
zAʔ.kã,着港,arrive shore,T5.T2,11.23,2
ɦyɪʔ.pø,月半,mid-month; half month,T5.T2,11.23,2
ɦyɪʔ.dɤ,月头,beginning of the month,T5.T3,11.23,2
dəʔ.di,特地,specially; deliberately,T5.T3,11.23,2
loʔ.tʰoʔ,落拓,unrestrained; carefree,T5.T4,11.23,2
ɦəʔ.pʰoʔ,合扑,to fit together; to match,T5.T4,11.23,2
zAʔ.zəʔ,着实,indeed; truly,T5.T5,11.23,2
lAʔ.ɦyɪʔ,腊月,lunar december,T5.T5,11.23,2
məʔ.loʔ,墨绿,jade green,T5.T5,11.23,2
